Geneset,Pval,FDR,Stats,diffAvg,avg.NR,avg.R
ROY_WOUND_BLOOD_VESSEL_UP,0.0005975809,0.0484040529,3.905694,0.21300765,0.2721261,0.05911845
MAPKi_INDUCED_EMT,0.001075721,0.08605768,3.678224,0.27577319,0.3662067,0.09043351
INGRAM_SHH_TARGETS_DN,0.001121353,0.088586887,3.662046,0.1008678,0.1363125,0.0354447
WESTON_VEGFA_TARGETS_12HR,0.00141856,0.11064768,3.570197,0.1424745,0.293405,0.1509305
LEF1_UP.V1_UP,0.001474676,0.113550052,3.55499,0.13309813,0.01377793,-0.1193202
MAPKi_INDUCED_ANGIOGENESIS,0.002110708,0.160413808,3.413672,0.3170467,0.1408456,-0.1762011
WONG_ENDMETRIUM_CANCER_DN,0.003179412,0.2384559,3.250311,0.1297546,-0.1687945,-0.2985491
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN,0.003232173,0.239180802,3.2437,0.1501623,0.3409889,0.1908266
POST_OP_WOUNDHEALING,0.003677965,0.268491445,3.191661,0.1302611,-0.1355108,-0.2657719
MAPKR_REG_CELL_PROLIF_UP,0.003748309,0.269878248,3.184009,0.16923846,0.03565736,-0.1335811
LOPES_METHYLATED_IN_COLON_CANCER_DN,0.004017485,0.285241435,3.155949,0.1133278,0.1336541,0.0203263
LIM_MAMMARY_STEM_CELL_UP,0.004161588,0.29131116,3.141662,0.1287526,0.2320358,0.1032832
JAEGER_METASTASIS_UP,0.004333241,0.298993629,3.125249,0.1275275,0.3233281,0.1958006
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_16,0.004787973,0.325582164,3.084609,0.1479937,0.2849142,0.1369205
ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE,0.004840233,0.325582164,3.080178,0.18275046,0.1454204,-0.03733006
POOLA_INVASIVE_BREAST_CANCER_UP,0.005010394,0.330686004,3.06606,0.150853534,0.1497,-0.001153534
WESTON_VEGFA_TARGETS_6HR,0.005244851,0.340915315,3.047341,0.15152069,0.1874614,0.03594071
VALK_AML_WITH_CEBPA,0.00533315,0.3413216,3.040497,0.10671982,0.1902189,0.08349908
SATO_SILENCED_BY_DEACETYLATION_IN_PANCREATIC_CANCER,0.005563287,0.350487081,3.023158,0.11526185,0.1978743,0.08261245
GU_PDEF_TARGETS_UP,0.0059488,0.3688256,2.995589,0.1321217,0.4230377,0.290916
LU_TUMOR_VASCULATURE_UP,0.006402595,0.390558295,2.965241,0.1544635,0.2250848,0.0706213
SWEET_KRAS_TARGETS_UP,0.006751649,0.40509894,2.943259,0.1057307,0.4503997,0.344669
PETROVA_PROX1_TARGETS_DN,0.007586811,0.447621849,2.894762,0.1154549,0.3937612,0.2783063
CROONQUIST_STROMAL_STIMULATION_UP,0.007623001,0.447621849,2.892777,0.1195866,0.5146544,0.3950678
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP,0.007719889,0.447621849,2.887506,0.132689,0.2559903,0.1233013
VALK_AML_CLUSTER_9,0.0077802,0.447621849,2.884256,0.12164172,0.1084409,-0.01320082
LINDGREN_BLADDER_CANCER_HIGH_RECURRENCE,0.008192422,0.45058321,2.862666,0.1339631,0.3220292,0.1880661
ROZANOV_MMP14_TARGETS_SUBSET,0.009308746,0.502672284,2.808984,0.1742907,0.4381816,0.2638909
VANHARANTA_UTERINE_FIBROID_UP,0.009859341,0.522545073,2.78471,0.1289315,0.3084008,0.1794693
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP,0.01204705,0.6264466,2.699417,0.1132021,0.2357906,0.1225885
GILDEA_METASTASIS,0.01210953,0.6264466,2.697202,0.1459564,0.3505573,0.2046009
DTPP_REG_CELL_PROLIF_UP,0.01239673,0.6264466,2.687154,0.13156796,0.1444371,0.01286914
DTPP_BLOOD_VESS_DEVEL_UP,0.0128178,0.6280722,2.67281,0.2016696,0.4122111,0.2105415
RIGGI_EWING_SARCOMA_PROGENITOR_DN,0.01350913,0.64843824,2.650189,0.13639386,0.1837516,0.04735774
LU_TUMOR_ANGIOGENESIS_UP,0.01420748,0.66775156,2.628412,0.1379888,0.3857342,0.2477454
NAKAMURA_ADIPOGENESIS_EARLY_DN,0.01481281,0.68138926,2.610328,0.1186943,0.3263427,0.2076484
TSAI_RESPONSE_TO_RADIATION_THERAPY,0.01484236,0.68138926,2.609463,0.1827715,0.4496202,0.2668487
BMI1_DN_MEL18_DN.V1_UP,0.01508883,0.68138926,2.602311,0.1223808,0.2510806,0.1286998
LIM_MAMMARY_LUMINAL_MATURE_DN,0.0159022,0.6837946,2.579454,0.1011386,0.3866089,0.2854703
WILCOX_PRESPONSE_TO_ROGESTERONE_DN,0.01684581,0.70752402,2.554262,0.1023573,0.2788549,0.1764976
PETROVA_PROX1_TARGETS_UP,0.01697682,0.70752402,2.550869,0.1434951,0.5455386,0.4020435
CLASPER_LYMPHATIC_VESSELS_DURING_METASTASIS_DN,0.01826444,0.7305776,2.518752,0.2849756,0.446537,0.1615614
MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR,0.0221768,0.8648952,2.432625,0.13297877,0.1685537,0.03557493
DTP_BLOOD_VESS_DEVEL_UP,0.02283232,0.86762816,2.419585,0.1396169,0.3948108,0.2551939
EP_BLOOD_VESS_DEVEL_DN_IN_R,0.02352731,0.87051047,2.406131,0.2440904,0.3690096,0.1249192
MEL18_DN.V1_UP,0.02418926,0.87081336,2.393651,0.1034612,0.2981655,0.1947043
LIEN_BREAST_CARCINOMA_METAPLASTIC,0.0243337,0.87081336,2.39097,0.128597,0.3350505,0.2064535
JACKSON_DNMT1_TARGETS_DN,0.02501178,0.87081336,2.378573,0.1199879,0.2207287,0.1007408
STEGER_ADIPOGENESIS_DN,0.0258724,0.87081336,2.363276,0.1076001,0.2114487,0.1038486
HOEK_INVASIVE_SIG,0.02629071,0.87081336,2.356008,0.1679166,0.3013897,0.1334731
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_UP,0.02657608,0.87081336,2.351111,0.110416,0.2896541,0.1792381
DTPP_CELL_ADHESION_UP,0.02674815,0.87081336,2.348181,0.1140066,0.2310315,0.1170249
PLASARI_TGFB1_TARGETS_10HR_UP,0.02773166,0.87081336,2.331757,0.1013366,0.2796863,0.1783497
ZWANG_CLASS_2_TRANSIENTLY_INDUCED_BY_EGF,0.02892436,0.87081336,2.312538,0.1078084,0.2338587,0.1260503
HARRIS_HYPOXIA,0.02942447,0.87081336,2.304693,0.1085055,0.3340136,0.2255081
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_UP,0.03214257,0.87081336,2.264067,0.1001621,0.378983,0.2788209
WEINMANN_ADAPTATION_TO_HYPOXIA_DN,0.03227399,0.87081336,2.262183,0.16601498,0.2444314,0.07841642
PLX2D_CELL_ADHESION_UP,0.03617941,0.87081336,2.209139,0.10168117,0.1839791,0.08229793
NAKAMURA_CANCER_MICROENVIRONMENT_UP,0.03759705,0.87081336,2.191158,0.1243669,-0.1908011,-0.315168
WILLIAMS_ESR1_TARGETS_UP,0.03766434,0.87081336,2.19032,0.1070796,0.389565,0.2824854
EP_RESP_TO_WOUNDING_DN_IN_R,0.04147386,0.87095106,2.144931,0.18324842,0.04477552,-0.1384729
DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_DN,0.04391986,0.8783972,2.11772,0.10501172,0.1474971,0.04248538
CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP,0.04501908,0.8783972,-2.105931,-0.102919,0.5498142,0.6527332
KIM_GLIS2_TARGETS_UP,0.0546924,0.9844632,2.01197,0.1322153,0.2598911,0.1276758
PH_BLOOD_VESS_DEVEL_DN_IN_R,0.05502852,0.9844632,2.008978,0.16063547,-0.04397603,-0.2046115
VALK_AML_CLUSTER_13,0.05648656,0.9844632,1.996184,0.11325694,0.193455,0.08019806
HARRIS_BRAIN_CANCER_PROGENITORS,0.06072352,0.9844632,1.960588,0.1236691,-0.1469096,-0.2705787
PH_RESP_TO_WOUNDING_DN_IN_R,0.07399112,1.0,1.861669,0.1079071,-0.2363218,-0.3442289
WANG_BARRETTS_ESOPHAGUS_UP,0.08072763,1.0,1.81722,0.1085087,0.2314685,0.1229598
BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN,0.08885657,1.0,1.767643,0.1186764,0.3612462,0.2425698
DTPP_RESP_TO_WOUNDING_UP,0.09435173,1.0,1.73628,0.15929472,0.2507667,0.09147198
BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP,0.09491353,1.0,1.733161,0.1158654,0.4607875,0.3449221
