run_accession,cohort,bam,bai
PD1_10_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_10_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_10_PRE.markdup.sorted.bam.bai
PD1_11_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_11_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_11_PRE.markdup.sorted.bam.bai
PD1_13_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_13_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_13_PRE.markdup.sorted.bam.bai
PD1_16_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_16_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_16_PRE.markdup.sorted.bam.bai
PD1_19_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_19_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_19_PRE.markdup.sorted.bam.bai
PD1_23_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_23_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_23_PRE.markdup.sorted.bam.bai
PD1_27_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_27_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_27_PRE.markdup.sorted.bam.bai
PD1_35_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_35_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_35_PRE.markdup.sorted.bam.bai
PD1_36_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_36_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_36_PRE.markdup.sorted.bam.bai
PD1_45_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_45_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_45_PRE.markdup.sorted.bam.bai
PD1_46_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_46_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_46_PRE.markdup.sorted.bam.bai
PD1_50_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_50_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_50_PRE.markdup.sorted.bam.bai
PD1_52_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_52_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_52_PRE.markdup.sorted.bam.bai
PD1_54_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_54_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_54_PRE.markdup.sorted.bam.bai
PD1_5_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_5_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_5_PRE.markdup.sorted.bam.bai
PD1_9_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_9_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_9_PRE.markdup.sorted.bam.bai
Pt18_Pre_E9024732-6,riaz2017,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt18_Pre_E9024732-6.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt18_Pre_E9024732-6.markdup.sorted.bam.bai
Pt29_Pre_AD497504-5,riaz2017,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt29_Pre_AD497504-5.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt29_Pre_AD497504-5.markdup.sorted.bam.bai
Pt31_Pre_AD453872-5,riaz2017,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt31_Pre_AD453872-5.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt31_Pre_AD453872-5.markdup.sorted.bam.bai
Pt34_Pre_AD466985-6,riaz2017,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt34_Pre_AD466985-6.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt34_Pre_AD466985-6.markdup.sorted.bam.bai
Pt44_Pre_AD467790-6,riaz2017,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt44_Pre_AD467790-6.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt44_Pre_AD467790-6.markdup.sorted.bam.bai
Pt66_Pre_AD667850-6,riaz2017,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt66_Pre_AD667850-6.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt66_Pre_AD667850-6.markdup.sorted.bam.bai
Pt67_Pre_AD506074-6,riaz2017,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt67_Pre_AD506074-6.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt67_Pre_AD506074-6.markdup.sorted.bam.bai
Pt72_Pre_AD793922-5,riaz2017,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt72_Pre_AD793922-5.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt72_Pre_AD793922-5.markdup.sorted.bam.bai
Pt92_Pre_AE134060-5,riaz2017,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt92_Pre_AE134060-5.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt92_Pre_AE134060-5.markdup.sorted.bam.bai
Pt94_Pre_AD732850-6,riaz2017,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt94_Pre_AD732850-6.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt94_Pre_AD732850-6.markdup.sorted.bam.bai
ipiPD1_10_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_10_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_10_PRE.markdup.sorted.bam.bai
ipiPD1_14_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_14_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_14_PRE.markdup.sorted.bam.bai
ipiPD1_15_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_15_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_15_PRE.markdup.sorted.bam.bai
ipiPD1_19_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_19_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_19_PRE.markdup.sorted.bam.bai
ipiPD1_24_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_24_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_24_PRE.markdup.sorted.bam.bai
ipiPD1_27_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_27_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_27_PRE.markdup.sorted.bam.bai
ipiPD1_2_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_2_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_2_PRE.markdup.sorted.bam.bai
ipiPD1_33_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_33_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_33_PRE.markdup.sorted.bam.bai
ipiPD1_35_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_35_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_35_PRE.markdup.sorted.bam.bai
ipiPD1_37_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_37_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_37_PRE.markdup.sorted.bam.bai
ipiPD1_38_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_38_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_38_PRE.markdup.sorted.bam.bai
ipiPD1_44_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_44_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_44_PRE.markdup.sorted.bam.bai
ipiPD1_50_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_50_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_50_PRE.markdup.sorted.bam.bai
ipiPD1_8_PRE,gide2019,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_8_PRE.markdup.sorted.bam,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_8_PRE.markdup.sorted.bam.bai
